imageName X Y Z Omega Phi Kappa
Elettra-Carroponte2024-4152_pt.jpg 49.779563 -78.356426 5.677340 -2.011610 0.205245 -171.074775
Elettra-Carroponte2024-4153_pt.jpg 50.329262 -78.288305 5.675535 -2.065975 0.371133 -170.444440
Elettra-Carroponte2024-4154_pt.jpg 50.876613 -78.214998 5.674858 -2.023323 0.167900 -169.832037
Elettra-Carroponte2024-4155_pt.jpg 51.431996 -78.134896 5.674326 -2.062409 0.132122 -169.189362
Elettra-Carroponte2024-4156_pt.jpg 51.972126 -78.051826 5.675015 -2.067624 0.137692 -168.539505
Elettra-Carroponte2024-4157_pt.jpg 52.480640 -77.968928 5.675762 -2.008944 0.070166 -167.902272
Elettra-Carroponte2024-4158_pt.jpg 52.990746 -77.878988 5.678343 -2.011807 -0.041815 -167.320725
Elettra-Carroponte2024-4159_pt.jpg 53.496355 -77.784895 5.681562 -2.009006 -0.156217 -166.737912
Elettra-Carroponte2024-4160_pt.jpg 53.897411 -77.706967 5.683155 -2.028032 -0.157643 -166.261638
Elettra-Carroponte2024-4161_pt.jpg 53.897224 -77.706441 5.683338 -1.935642 -0.397576 -166.205544
Elettra-Carroponte2024-4162_pt.jpg 53.960310 -77.693866 5.684350 -1.972383 -0.416908 -166.151997
Elettra-Carroponte2024-4163_pt.jpg 54.351166 -77.614348 5.685691 -1.975563 -0.420349 -165.693158
Elettra-Carroponte2024-4164_pt.jpg 54.835934 -77.510859 5.688907 -1.981057 -0.622427 -165.147571
Elettra-Carroponte2024-4165_pt.jpg 55.358839 -77.395612 5.690120 -1.972847 -0.573114 -164.538573
Elettra-Carroponte2024-4166_pt.jpg 55.912043 -77.263457 5.686724 -1.975121 -0.588563 -163.881390
Elettra-Carroponte2024-4167_pt.jpg 56.472492 -77.124317 5.683243 -2.020359 -0.444918 -163.226287
Elettra-Carroponte2024-4168_pt.jpg 57.076035 -76.965187 5.679889 -1.997761 -0.464797 -162.528800
Elettra-Carroponte2024-4170_pt.jpg 58.319497 -76.618395 5.669923 -2.111393 0.023666 -161.121601
Elettra-Carroponte2024-4171_pt.jpg 58.944356 -76.427131 5.664820 -1.840579 -0.347128 -160.259572
Elettra-Carroponte2024-4172_pt.jpg 59.569870 -76.226145 5.662486 -2.083789 -0.144853 -159.610928
Elettra-Carroponte2024-4173_pt.jpg 60.180820 -76.022092 5.660420 -1.948941 -0.341017 -158.822151
Elettra-Carroponte2024-4174_pt.jpg 60.793953 -75.812861 5.660656 -1.924891 -0.371988 -158.050124
Elettra-Carroponte2024-4175_pt.jpg 61.404107 -75.593282 5.661017 -1.915515 -0.493544 -157.336328
Elettra-Carroponte2024-4176_pt.jpg 62.007793 -75.367694 5.663304 -1.893797 -0.429817 -156.509073
Elettra-Carroponte2024-4177_pt.jpg 62.609832 -75.132277 5.667940 -1.831191 -0.652853 -155.807032
Elettra-Carroponte2024-4178_pt.jpg 63.207373 -74.886573 5.671728 -1.849143 -0.673243 -155.052899
Elettra-Carroponte2024-4179_pt.jpg 63.802728 -74.633838 5.674217 -1.869005 -0.720154 -154.340246
Elettra-Carroponte2024-4180_pt.jpg 64.397689 -74.367479 5.672342 -1.925700 -0.722158 -153.570422
Elettra-Carroponte2024-4181_pt.jpg 64.990363 -74.100677 5.668428 -1.853801 -0.757967 -152.834859
Elettra-Carroponte2024-4182_pt.jpg 65.579831 -73.821533 5.665515 -1.926138 -0.629434 -152.069518
Elettra-Carroponte2024-4183_pt.jpg 66.164157 -73.534580 5.661459 -2.007970 -0.490650 -151.309183
Elettra-Carroponte2024-4184_pt.jpg 66.746200 -73.239869 5.658544 -1.987476 -0.572475 -150.568682
Elettra-Carroponte2024-4185_pt.jpg 67.332008 -72.934861 5.657089 -2.045963 -0.495839 -149.799573
Elettra-Carroponte2024-4186_pt.jpg 67.910887 -72.624524 5.657472 -1.997358 -0.594388 -149.078213
Elettra-Carroponte2024-4187_pt.jpg 68.489514 -72.306639 5.657648 -1.949375 -0.665927 -148.334315
Elettra-Carroponte2024-4188_pt.jpg 69.062892 -71.980988 5.660982 -1.895322 -0.744452 -147.586993
Elettra-Carroponte2024-4189_pt.jpg 69.629513 -71.650424 5.663059 -1.814653 -0.871227 -146.864748
Elettra-Carroponte2024-4190_pt.jpg 70.192515 -71.311729 5.665423 -1.800663 -0.886872 -146.097619
Elettra-Carroponte2024-4191_pt.jpg 70.745988 -70.968272 5.668550 -1.766648 -0.929400 -145.347910
Elettra-Carroponte2024-4192_pt.jpg 71.294879 -70.618152 5.670382 -1.702415 -1.027456 -144.577573
Elettra-Carroponte2024-4193_pt.jpg 71.841307 -70.258291 5.667277 -1.612255 -1.072472 -143.787818
Elettra-Carroponte2024-4194_pt.jpg 72.379682 -69.889851 5.662210 -1.943755 -0.927050 -142.232257
Elettra-Carroponte2024-4195_pt.jpg 72.919426 -69.513698 5.657273 -1.872285 -0.656283 -141.302865
Elettra-Carroponte2024-4196_pt.jpg 73.447135 -69.132263 5.654004 -1.823265 -0.717782 -140.521764
Elettra-Carroponte2024-4197_pt.jpg 73.972151 -68.740660 5.651653 -1.767273 -0.771188 -139.740370
Elettra-Carroponte2024-4198_pt.jpg 74.497043 -68.340016 5.650716 -1.698983 -0.847787 -138.942939
Elettra-Carroponte2024-4199_pt.jpg 75.008415 -67.940942 5.649464 -1.676725 -0.919021 -138.213790
Elettra-Carroponte2024-4200_pt.jpg 75.520077 -67.531543 5.651528 -1.709171 -0.908877 -137.481708
Elettra-Carroponte2024-4201_pt.jpg 76.023450 -67.116717 5.653281 -1.611739 -0.975725 -136.683557
Elettra-Carroponte2024-4202_pt.jpg 76.518087 -66.697038 5.657327 -1.438936 -1.199680 -135.938692
Elettra-Carroponte2024-4203_pt.jpg 77.008425 -66.271402 5.659837 -1.391373 -1.273152 -135.210627
Elettra-Carroponte2024-4204_pt.jpg 77.492614 -65.840372 5.663657 -1.370160 -1.296311 -134.464870
Elettra-Carroponte2024-4205_pt.jpg 77.989328 -65.386367 5.666349 -1.131212 -1.496180 -133.659900
Elettra-Carroponte2024-4206_pt.jpg 78.488064 -64.915670 5.663775 -1.386491 -1.274977 -132.862933
Elettra-Carroponte2024-4207_pt.jpg 78.975251 -64.437800 5.659280 -1.495450 -1.206918 -132.064840
Elettra-Carroponte2024-4208_pt.jpg 79.462336 -63.948140 5.654930 -1.522955 -1.194291 -131.271577
