#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert
Elettra-Carroponte2024-4324_pt.jpg,79.87187383773261,5.276950370912729,5.6635546727272725,-1.483183,-0.028753,316.43874323585976,2.0,0.5
Elettra-Carroponte2024-4325_pt.jpg,79.36628355729752,5.793338563693304,5.6635546727272725,-1.483183,-0.028753,317.2756003140058,2.0,0.5
Elettra-Carroponte2024-4326_pt.jpg,78.85321600331886,6.302298269729029,5.6635546727272725,-1.483183,-0.028753,318.1124605674949,2.0,0.5
Elettra-Carroponte2024-4327_pt.jpg,78.33278030864581,6.803721229937068,5.6635546727272725,-1.483183,-0.028753,318.9493237347299,2.0,0.5
Elettra-Carroponte2024-4328_pt.jpg,77.8050871733796,7.297500788350057,5.6635546727272725,-1.483183,-0.028753,319.786189553483,2.0,0.5
Elettra-Carroponte2024-4329_pt.jpg,77.27024884132689,7.783531914802573,5.6635546727272725,-1.483183,-0.028753,320.6230577609525,2.0,0.5
Elettra-Carroponte2024-4330_pt.jpg,76.72837907612481,8.26171122727171,5.6635546727272725,-1.483183,-0.028753,321.45992809381966,2.0,0.5
Elettra-Carroponte2024-4331_pt.jpg,76.17959313704263,8.731937013867146,5.6635546727272725,-1.483183,-0.028753,322.29680028830546,2.0,0.5
Elettra-Carroponte2024-4332_pt.jpg,75.62400775446534,9.1941092544659,5.6635546727272725,-1.483183,-0.028753,323.133674080228,2.0,0.5
Elettra-Carroponte2024-4333_pt.jpg,75.06174110506441,9.648129641987275,5.6635546727272725,-1.483183,-0.028753,323.97054920505946,2.0,0.5
Elettra-Carroponte2024-4334_pt.jpg,74.49291278666075,10.093901603303472,5.6635546727272725,-1.483183,-0.028753,324.80742539798354,2.0,0.5
Elettra-Carroponte2024-4335_pt.jpg,73.91764379278553,10.531330319781262,5.6635546727272725,-1.483183,-0.028753,325.64430239395267,1.0,0.3
Elettra-Carroponte2024-4336_pt.jpg,73.38296930414492,10.926202205329233,5.6635546727272725,-1.483183,-0.028753,326.4140059209484,2.0,0.5
Elettra-Carroponte2024-4337_pt.jpg,72.84304629440454,11.313866697322247,5.6635546727272725,-1.483183,-0.028753,327.1837096964613,2.0,0.5
Elettra-Carroponte2024-4338_pt.jpg,72.29797191229159,11.694254043015405,5.6635546727272725,-1.483183,-0.028753,327.95341351401237,2.0,0.5
Elettra-Carroponte2024-4339_pt.jpg,71.74784423342328,12.067295799045851,5.6635546727272725,-1.483183,-0.028753,328.7231171671152,2.0,0.5
Elettra-Carroponte2024-4340_pt.jpg,71.19276224266011,12.432924843747848,5.6635546727272725,-1.483183,-0.028753,329.4928204493131,2.0,0.5
Elettra-Carroponte2024-4341_pt.jpg,70.63282581629535,12.791075389230024,5.6635546727272725,-1.483183,-0.028753,330.26252315421766,2.0,0.5
Elettra-Carroponte2024-4342_pt.jpg,70.06813570408436,13.141682993212648,5.6635546727272725,-1.483183,-0.028753,331.0322250755459,2.0,0.5
Elettra-Carroponte2024-4343_pt.jpg,69.49879351111646,13.484684570622747,5.6635546727272725,-1.483183,-0.028753,331.8019260071586,2.0,0.5
Elettra-Carroponte2024-4344_pt.jpg,68.92490167953319,13.820018404945074,5.6635546727272725,-1.483183,-0.028753,332.5716257430976,2.0,0.5
Elettra-Carroponte2024-4345_pt.jpg,68.34656347009576,14.147624159326789,5.6635546727272725,-1.483183,-0.028753,333.3413240776239,2.0,0.5
Elettra-Carroponte2024-4346_pt.jpg,67.76388294360524,14.467442887433904,5.6635546727272725,-1.483183,-0.028753,334.1110208052549,2.0,0.5
Elettra-Carroponte2024-4347_pt.jpg,67.17696494217893,14.779417044057574,5.6635546727272725,-1.483183,-0.028753,334.8807157208025,2.0,0.5
Elettra-Carroponte2024-4348_pt.jpg,66.58591507038591,15.08349049546819,5.6635546727272725,-1.483183,-0.028753,335.6504086194103,1.0,0.3
Elettra-Carroponte2024-4349_pt.jpg,65.88583767556503,15.430829982000482,5.6635546727272725,-1.483183,-0.028753,336.55538454892627,2.0,0.5
Elettra-Carroponte2024-4350_pt.jpg,65.18036946344795,15.767085360152322,5.6635546727272725,-1.483183,-0.028753,337.4603570758523,2.0,0.5
Elettra-Carroponte2024-4351_pt.jpg,64.46968591179252,16.0921729899541,5.6635546727272725,-1.483183,-0.028753,338.36532586939956,2.0,0.5
Elettra-Carroponte2024-4352_pt.jpg,63.753963795617175,16.40601200929551,5.6635546727272725,-1.483183,-0.028753,339.2702905997243,2.0,0.5
Elettra-Carroponte2024-4353_pt.jpg,63.03338114322994,16.708524354039163,5.6635546727272725,-1.483183,-0.028753,340.17525093801106,2.0,0.5
Elettra-Carroponte2024-4354_pt.jpg,62.30811719194588,16.999634777438175,5.6635546727272725,-1.483183,-0.028753,341.08020655655605,2.0,0.5
